Customer_ID,Age,Income,Loan_Amount,Credit_Score,Loan_Term_Months,Default_Status
547,36,5857,656,796,12,Yes
548,25,43293,10960,678,12,No
549,55,34748,15049,728,60,No
550,32,9258,5049,775,24,Yes
551,45,7844,1790,666,48,No
552,41,8311,4697,632,36,No
553,56,30411,12075,535,12,No
554,43,31968,16000,619,36,No
555,36,13881,4144,637,48,No
556,59,28272,5826,585,12,Yes
557,62,23847,13249,773,48,No
558,59,18331,10385,738,12,No
559,34,35778,12478,728,48,No
560,51,12058,1244,640,36,Yes
561,25,39095,6055,567,24,No
562,55,15302,5914,756,12,Yes
563,43,53678,6005,676,36,No
564,49,13324,3976,711,48,No
565,63,18475,4649,699,36,No
566,31,22681,10369,674,12,No
567,38,22610,2889,809,36,No
568,32,28153,9694,597,48,Yes
569,29,11581,4511,625,60,No
570,30,21619,8834,781,24,No
571,64,23601,7141,656,24,No
572,37,16917,4266,639,60,No
573,58,26957,11894,629,12,No
574,27,11235,5884,704,36,Yes
575,33,18709,8359,631,36,No
576,60,15114,8555,622,60,Yes
577,62,18737,8593,703,60,No
578,29,45411,21902,657,48,No
579,47,45854,8434,569,48,Yes
580,22,41573,12878,652,24,No
581,25,17481,5987,761,12,No
582,49,34676,7911,711,12,No
583,57,23299,8487,771,60,No
584,58,22534,5529,591,24,No
585,39,21190,9403,735,24,No
586,28,53061,17783,598,48,Yes
587,21,43604,14363,551,36,Yes
588,42,31966,18918,585,12,Yes
589,37,20228,5991,660,24,No
590,27,22466,6316,732,48,No
591,45,28718,7446,674,48,No
592,24,16969,9288,637,48,No
593,56,35212,12266,567,36,Yes
594,26,13896,5558,706,24,Yes
595,51,26793,5101,727,60,No
596,39,7010,2597,673,60,No
597,64,16725,3969,565,48,No
598,59,62245,28963,714,48,No
599,47,36978,19090,748,36,No
600,30,47464,21710,772,48,No
601,46,15777,7338,614,24,Yes
602,39,23199,8264,684,48,No
603,59,41814,19069,607,48,No
604,23,30228,9411,576,24,Yes
605,33,28403,12092,776,12,No
606,48,49776,11424,695,60,No
607,40,13092,1765,753,48,Yes
608,48,20088,6161,552,24,No
609,28,9163,3031,673,60,No
610,61,12739,2907,690,36,Yes
611,59,37687,17481,583,12,No
612,21,13923,1904,769,48,No
613,23,31817,6725,630,12,No
614,33,50475,23939,686,48,No
615,48,20151,6419,605,48,No
616,45,28564,12929,554,48,Yes
617,53,31941,12257,723,12,No
618,58,11959,6880,680,36,No
619,26,16183,6455,668,24,No
620,64,13335,1432,627,24,No
621,52,16842,4655,678,36,No
622,41,31509,5404,751,36,No
623,36,16356,9197,595,48,Yes
624,41,21642,3289,694,48,No
625,31,13079,3843,666,24,No
626,57,40668,8664,635,48,No
627,56,16771,8777,518,48,Yes
628,55,47168,11994,649,36,No
629,39,22707,13532,703,12,No
630,40,10899,1300,675,60,Yes
631,38,20221,3319,534,60,No
632,61,12946,2748,749,48,No
633,34,29574,14951,781,48,Yes
634,35,19328,10422,641,60,No
635,51,23899,3243,834,36,No
636,21,18312,2128,583,60,No
637,23,16686,7880,548,60,Yes
638,36,13537,2256,568,60,Yes
639,43,33460,5571,669,48,No
640,31,20199,2245,507,48,No
641,32,18819,2350,625,60,No
642,30,19948,4624,850,48,No
643,52,15686,2078,529,60,Yes
644,36,18851,5361,606,36,No
645,28,24411,12605,567,48,Yes
646,58,13133,3456,627,12,Yes
647,32,14119,6550,622,48,No
648,44,43876,6447,596,36,No
649,48,18372,7894,637,36,No
650,28,16717,4319,700,48,No
651,48,11249,5341,760,24,No
652,56,33702,5666,627,60,No
653,46,12991,7131,650,60,No
654,28,21858,4836,687,36,No
655,48,9375,2592,551,48,No
656,48,33159,19069,637,24,No
657,57,39673,15442,609,12,No
658,61,28064,7938,726,60,No
659,56,10226,5877,790,24,Yes
660,47,33502,8862,587,60,No
661,37,14564,2147,752,48,Yes
662,29,12265,7339,533,60,Yes
663,53,18183,4253,666,12,No
664,40,18003,9462,670,48,Yes
665,33,17110,3127,531,36,Yes
666,48,41640,19390,583,24,No
667,49,60229,21816,575,60,Yes
668,33,11108,6558,545,48,Yes
669,55,15608,5875,436,48,No
670,26,23656,2661,633,60,No
671,38,18135,7289,643,36,No
672,25,26895,4643,642,60,No
673,45,34821,17385,711,36,No
674,22,32038,16925,494,60,Yes
675,30,29877,10189,619,48,No
676,50,50490,24821,850,12,No
677,25,9951,1717,720,12,Yes
678,53,46168,15975,721,48,No
679,21,17916,5320,568,12,No
680,38,32616,13230,634,36,No
681,52,13163,1609,466,48,Yes
682,31,13985,6657,696,36,No
683,41,30670,4280,762,48,No
684,46,8397,3595,534,36,Yes
685,45,36124,3945,557,36,No
686,42,41356,21337,647,12,No
687,47,24074,4510,662,48,No
688,33,23644,8458,606,60,No
689,53,14518,3349,584,12,Yes
690,54,30860,14236,585,36,No
691,61,26208,6831,646,36,No
692,55,13894,6423,696,60,No
693,21,18110,4390,646,60,No
694,41,20339,9686,638,36,No
695,26,18098,2086,509,60,Yes
696,48,11142,2692,719,24,No
697,37,31241,10913,645,12,No
698,25,19501,2389,615,48,No
699,51,22196,4284,670,60,No
700,25,16495,9357,582,60,Yes
701,58,27935,16437,616,24,No
702,23,24327,11430,658,48,No
703,43,40392,9132,595,24,No
704,57,28009,6449,518,48,No
705,57,19903,8416,505,12,No
706,30,15216,2416,685,60,No
707,30,33961,19498,647,12,No
708,39,19124,4062,644,48,No
709,37,20214,12124,557,60,Yes
710,41,20211,7030,648,24,No
711,34,18019,8752,617,36,No
712,29,20388,2061,601,24,No
713,21,57705,31413,643,36,No
714,33,13044,3065,673,24,No
715,24,14658,6361,789,48,No
716,21,44009,22144,695,12,Yes
717,60,18262,3325,718,36,No
718,52,17583,5648,738,48,No
719,54,36954,12820,588,12,No
720,48,10828,2772,624,12,No
721,51,33214,11321,577,60,No
722,28,22534,5831,595,60,Yes
723,59,27789,7791,615,60,No
724,46,27529,11965,593,36,Yes
725,54,16090,6698,667,36,No
726,23,37256,8052,684,12,No
727,32,16729,9179,545,36,Yes
728,21,27022,14359,625,12,Yes
729,64,40899,14500,625,48,No
730,25,43890,13896,532,24,Yes
731,50,19272,5558,588,12,No
732,50,27766,12595,719,12,No
733,37,18402,8020,718,48,No
734,43,77025,15257,519,60,No
735,35,32534,14176,687,60,No
736,57,22971,5196,532,60,Yes
737,41,25752,2814,617,12,No
738,34,26998,12138,642,12,No
739,22,27402,11574,710,36,No
740,31,19535,5966,636,36,No
741,59,18084,6561,568,24,Yes
742,58,20415,11709,555,24,Yes
743,54,12458,4953,663,36,No
744,58,31543,13530,599,12,Yes
745,54,14752,1946,617,48,Yes
746,38,12965,2372,727,36,Yes
747,50,21868,5477,684,12,No
748,35,20639,7630,776,36,No
749,47,24954,12184,568,60,No
750,54,16579,4320,593,36,Yes
751,58,18101,5035,664,60,No
752,53,31134,7100,795,12,No
753,44,30200,6864,586,60,Yes
754,35,29577,16989,653,36,No
755,50,22403,9358,755,60,No
756,62,23967,4264,653,48,No
757,37,24716,11397,731,60,No
758,25,15866,7314,806,60,No
759,49,46028,19940,673,24,No
760,24,42864,7173,686,48,No
761,30,32765,9960,709,12,No
762,37,17802,2730,577,60,Yes
763,30,28841,14660,531,48,No
764,37,35924,15360,662,12,No
765,40,11948,4224,599,48,Yes
766,44,51392,13953,734,24,No
767,25,9230,1773,675,12,No
768,54,31329,4800,732,12,No
769,26,45553,26631,553,60,Yes
770,22,20815,4159,730,36,No
771,33,20430,2654,466,12,No
772,63,30755,17863,560,12,Yes
773,63,55600,20820,700,24,No
774,31,19138,9537,609,24,No
775,43,14906,1816,617,24,No
776,36,17820,6833,658,60,No
777,51,10134,3031,763,12,No
778,31,34505,16768,496,24,No
779,36,17033,2030,749,24,No
780,28,19847,5970,754,48,No
781,24,34710,17338,609,48,No
782,60,18243,6592,594,24,Yes
783,24,32194,12073,640,60,No
784,45,13107,1947,592,36,Yes
785,23,35573,5910,677,48,No
786,52,26132,11458,688,48,No
787,23,21072,9219,525,12,No
788,47,23516,13863,576,12,Yes
789,49,11575,5277,555,24,Yes
790,52,23248,8058,667,12,No
791,39,20520,10848,719,12,No
792,41,11734,1786,564,36,No
793,25,15747,5112,719,60,Yes
794,38,20648,5028,576,24,No
795,48,16258,2476,707,36,No
796,62,6594,3176,627,24,No
797,42,37729,13408,614,60,No
798,41,20515,7762,741,24,No
799,26,7065,2159,793,12,Yes
800,21,64053,21148,494,60,No
801,25,40974,6474,697,36,No
802,61,18499,8074,664,36,No
803,32,14454,4570,702,48,No
804,46,26946,13698,534,36,No
805,54,24371,4828,563,48,No
806,34,28884,5849,596,12,Yes
807,46,14475,6121,667,36,Yes
808,47,38134,19944,591,60,Yes
809,29,17383,5842,624,48,No
810,46,30957,14347,716,36,No
811,42,14787,8867,813,12,No
812,50,82790,49271,710,60,No
813,63,31187,14725,718,60,No
814,37,93163,43767,635,12,No
815,46,33316,7456,578,36,Yes
816,56,16635,8596,623,24,Yes
817,21,33345,10088,645,36,No
818,28,34554,20075,557,48,Yes
819,55,26546,3735,715,48,No
820,35,30187,9597,771,36,No
821,42,32236,12182,659,48,No
822,34,13402,4055,736,24,No
823,46,12933,2655,746,24,No
824,48,14807,5870,567,60,No
825,43,23476,11220,510,48,No
826,34,19700,8321,610,36,No
827,44,13523,2937,657,60,No
828,22,32456,15118,554,24,No
829,46,25375,5796,763,60,No
830,34,23967,4496,805,12,No
831,27,19360,8621,664,48,No
832,23,18231,9505,571,36,Yes
833,43,14462,4928,688,24,No
834,63,35132,12847,571,60,Yes
835,38,15494,3894,741,36,No
836,58,24457,8494,631,48,No
837,55,50564,8393,708,36,No
838,35,18655,10781,722,48,No
839,45,35608,17810,693,48,Yes
840,57,29271,12703,792,48,No
841,48,25738,9499,664,60,No
842,30,27314,13550,609,48,No
843,59,21005,7296,481,36,Yes
